title,level,expected_duration,expected_duration_unit,required_knowledge
Machine Learning Interview Preparation,intermediate,1,week,<p>Students with the following technical skills can expect to get the most out of the course:</p><ol><li>Python (Intermediate)</li><li>Statistics and Probability (Intermediate)</li><li>Algorithms (Basic)</li><li>Supervised Machine Learning (Intermediate)</li><li>Unsupervised Machine Learning (Intermediate)</li></ol></p><p>Don't yet have these technical skills but want to master them? Enroll in one of the following Nanodegree programs:<ol><li><a href="https://www.udacity.com/course/machine-learning-engineer-nanodegree--nd009t">Machine Learning Engineer Nanodegree Program</a></li><li><a href="https://www.udacity.com/course/data-analyst-nanodegree--nd002">Data Analyst Nanodegree Program</a></li></ol></p>
Data Foundations Nanodegree Preview,beginner,0,week,This is an introductory program and has no prerequisites. In order to succeed, we recommend having experience using a computer and being able to download and install applications. See detailed requirements.
Deploying a Hadoop Cluster,intermediate,3,weeks,<p>This course is intended for students with some experience with Hadoop and MapReduce, Python, and bash commands.</p><p>You’ll have to be able to work with HDFS and write MapReduce programs. You can learn about these in our Intro to <a href="https://www.udacity.com/course/intro-to-hadoop-and-mapreduce--ud617">Hadoop and MapReduce course</a>.</p><p>The MapReduce programs in the course are written in Python. It is possible to use Java and other languages, but we suggest using Python, on the level of our <a href="https://www.udacity.com/course/intro-to-computer-science--cs101">Intro to Computer Science course</a>.</p><p>You’ll also be using remote cloud machines, so you’ll need to know these bash commands:</p><ul><li>ssh</li><li>scp</li><li>cat</li><li>head/tail</li></ul><p>You’ll also need to be able to work in an editor such as vim or nano. You can learn about these in our <a href="https://www.udacity.com/course/linux-command-line-basics--ud595">Linux Command Line Basics</a> course.</p>
Data Visualization in Tableau,beginner,3,weeks,<ul><li>No programming experience required.</li><li>Interested in using data to make better business decisions.</li><li>Tableau license (provided to Nanodegree students at no cost).</li></ul>
Objective-C for Swift Developers,intermediate,5,weeks,<p>Experience writing iOS apps in Swift.</p>
Data Structures & Algorithms in Swift,intermediate,4,weeks,<ul>
<li>Swift (intermediate)</li>
<li>Algebra (intermediate)</li>
</ul>
Introduction to Virtual Reality,beginner,2,weeks,<p>No programming experience is required. If you are new to virtual reality, and ready to start learning about this amazing technology, then this is the perfect place to begin! We will teach and use the Unity platform to edit a VR app, so you should have access to a computer running Mac OS X (10.8+) or Windows (7, 8, or 10).</p>
VR Scenes and Objects,beginner,2,weeks,<p>No programming experience is required. We will teach and use the Unity platform to edit a VR app, so you should have access to a computer running Mac OS X (10.8+) or Windows (7, 8, or 10).  Advanced computer skills are helpful, but not required. </p><p>Finally, the <em>most important prerequisite</em> is a willingness to learn new things, and belief that you can do this!</p>
VR Software Development,beginner,1,months,<p>Prior to enrolling in this course, you should have either completed Students should take our Introduction to Virtual Reality or VR Scenes and Objects courses, or know the material taught in those courses. This includes:</p><ul><li>Understanding how to use the Unity interface</li><li>Familiarity with the 3D Objects and Materials</li><li>Familiarity with Mecanim and Creating animations</li><li>Familiarity with Cameras and Lighting</li></ul>
Intro to Deep Learning,beginner,0,,This free course is ideal for beginners who are looking to learn the basics of Deep Learning. No prior experience is necessary.
Swift for Beginners,beginner,7,days,<p>This course assumes no prior programming experience. Basic computer literacy and an understanding of how to navigate the macOS is recommended.</p>
Swift for Developers,beginner,7,days,<p>We recommend at least 3 months of experience with any object-oriented programming language.  Individuals with no programming experience should take our course, Swift for Beginners.</p>
AutoLayout,intermediate,6,days,<p>You will need to be familiar with UIKit and Storyboards.</p>
Building iOS Interfaces,intermediate,2,days,<p>Before taking this course, you should be able to:</p><ul><li>Construct an interface using Storyboard</li><li>Setup outlets and actions using Storyboard</li><li>Programmatically add basic UI elements, like buttons and labels, to a view controller</li><li>Run a Xcode project in the iOS simulator</li></ul>
Passwordless Login Solutions for iOS,intermediate,1,weeks,<p>To get the most out of this course, you should have at least 3 months experience developing iOS apps in Swift, and familiarity using a third party SDK. If you lack this experience, please take our <a href="/course/intro-to-ios-app-development-with-swift--ud585">Intro to iOS App Development with Swift</a> course prior to enrolling in this one. We also recommend taking <a href="/course/swift-for-developers--ud1025">Swift for Developers</a> if you have experience with iOS Apps but are new to Swift. </p><p>To follow along with course activities, you must create a <a href="https://developers.facebook.com/products/account-creation?utm_source=Udacity&utm_medium=Learn%20Page&utm_campaign=Udacity_Course1">Facebook for Developers</a> account, which will provide access to the Facebook Platform.</p>
iOS Design Patterns,,2,days,<p>Before taking this course, you should be able to:</p><ul><li>Build multi-view applications using navigation, table, and other view controller subclasses</li><li>Send and receive data using URL requests</li><li>Run a Xcode project in the iOS simulator</li></ul>
Continuous Integration and Deployment,intermediate,2,days,<p>Before taking this course, you should be able to:</p><ul><li>Use Git and GitHub from the command line</li><li>Build simple interfaces using Storyboard, outlets, and actions</li><li>Programmatically add UI elements, like buttons and labels, to a view controller</li><li>Run a Xcode project in the iOS simulator</li></ul><p>Also, any familiarity with tests (unit or UI) is useful, but not required.</p><p><strong>Note:</strong> Specific portions of this course show content that requires an Apple Developer Account to demonstrate. However, you don’t need an Apple Developer Account account to view this content, and we don&#39;t require you to sign-up for one.</p>
Server-Side Swift,intermediate,2,weeks,<p>Students should have experience making network requests in Swift prior to taking this course. Experience using the command line, whether on a macOS or Linux system, is helpful, but not required.</p>
Mobile Design and Usability for iOS,intermediate,2,weeks,<p>To get the most from this course, you should have prior experience developing web or mobile apps.</p>
Core ML: Machine Learning for iOS,intermediate,1,weeks,<p>To get the most out of this course, you should have prior experience developing apps for iOS.</p>
Eigenvectors and Eigenvalues,beginner,1,weeks,<p>To easily understand this class you will need to have mathematical background in Linear Algebra. Refresh your memory or go over the topics of  <em>Linear transformation</em> , <em>Determinants</em> And <em>a System of linear equations</em> before beginning.</p>
Asynchronous JavaScript Requests,intermediate,3,weeks,<p>This course is ideal for students with intermediate level knowledge of JavaScript. You should have experience working with JavaScript&#39;s Object Oriented (prototypal inheritance) capabilities and using native JavaScript Promises. To brush up on these skills, check out <a href="https://www.udacity.com/course/object-oriented-javascript--ud015">Object Oriented JavaScript</a> and <a href="https://www.udacity.com/course/javascript-promises--ud898">JavaScript Promises</a>.</p>
Intro to AJAX,intermediate,2,weeks,<ul><li>Intermediate proficiency with JavaScript (equivalent to having finished JavaScript Basics).</li><li>Familiarity with HTML/CSS.</li></ul>
Learn ARKit using Unity,intermediate,1,month,<p>Students ought to be familiar with the following technical skills: 
<ul>
<li>Creating 3D scenes using Unity</li>
<li>Developing using C#</li>
<li>Deploying applications to an iPhone or iPad</li>
</ul></p>
<p>If you need to acquire more skills before enrolling, we have a number of Nanodegree programs and free courses that can help you prepare, including:</p>
<ul>
<li><a href="https://www.udacity.com/course/ios-developer-nanodegree--nd003">Become an iOS Developer (Nanodegree program)</a></li>
<li><a href="https://www.udacity.com/course/vr-developer-nanodegree--nd017">Become a VR Developer (Nanodegree program)</a></li>
<li><a href="https://www.udacity.com/course/vr-scenes-and-objects--ud1013">VR Scenes and Objects (in Unity)</a></li>
<li><a href="https://www.udacity.com/course/vr-software-development--ud1014">VR Software Development (in Unity)</a></li>
</ul>
Learn ARKit using Swift,intermediate,1,month,<p>To learn ARKit using Swift, you need to be familiar with creating iOS applications using Xcode. You do not need prior 3D development experience.
</p>
<p>If you need to acquire more skills before enrolling, we have a number of Nanodegree programs and free courses that can help you prepare, including:</p>
<ul>
<li><a href="https://www.udacity.com/course/ios-developer-nanodegree--nd003">Become an iOS Developer (Nanodegree program)</a></li>
<li><a href="https://www.udacity.com/course/vr-developer-nanodegree--nd017">Become a VR Developer (Nanodegree program)</a></li>
<li><a href="https://www.udacity.com/course/intro-to-ios-app-development-with-swift--ud585">Intro to iOS App Development with Swift</a></li>
<li><a href="https://www.udacity.com/course/uikit-fundamentals--ud788">UIKit Fundamentals (Swift)</a></li>
</ul>
Introduction to Python Programming,beginner,5,weeks,<p>This course is ideal for students who are new to Python, but have some experience programming in another language. If you&#39;re a complete beginner to programming, we recommend checking out the <a href="https://www.udacity.com/course/intro-to-programming-nanodegree--nd000">Learn to Code</a> program, which will help you skill up in understanding how code is used all over the web.  </p>
JavaScript and the DOM,intermediate,4,weeks,<p>Students should have experience with the following skills:</p><ul><li>building a website with HTML</li><li>styling page elements with CSS<ul><li>specifically, selecting elements by ID, class, or tag</li></ul></li><li>using the JavaScript data types (e.g. strings, arrays, object, functions, etc.)</li><li>looping through data (e.g. the <code>for</code> loop)</li></ul><p>These skills are covered in the following courses:</p><ul><li><a href="https://www.udacity.com/course/html-and-css-syntax--ud001">HTML and CSS Syntax</a></li><li><a href="https://www.udacity.com/course/intro-to-javascript--ud803">Intro to JavaScript</a></li></ul><p>See the <a href="https://www.udacity.com/tech-requirements">technology requirements</a> for using Udacity.</p>
Intro to Machine Learning,intermediate,10,weeks,<p>To succeed in this course, you must be proficient at programming in Python and basic statistics. If you need a refresher on any of these topics, you can check out these courses:</p><ul><li><p><a href="https://www.udacity.com/course/intro-to-computer-science--cs101">Intro to Computer Science</a> (You should know basic data structures and control statements, and be able to write and import functions.)</p></li><li><p><a href="https://www.udacity.com/course/intro-to-inferential-statistics--ud201">Inferential Statistics</a></p></li><li><p><a href="https://www.udacity.com/course/intro-to-descriptive-statistics--ud827">Descriptive Statistics</a></p></li></ul><p>One additional course that would be nice to have is Intro to <a href="https://www.udacity.com/course/intro-to-data-science--ud359">Data Science</a>, as this will get you familiar with scientific problem-solving.  However, completion of that class isn&#39;t required for success.  We will also use a tiny bit of <a href="https://www.udacity.com/course/how-to-use-git-and-github--ud775">git</a>, which you can also learn about on Udacity.</p><p>One thing that we don’t require is previous exposure to machine learning.  If you’re a machine learning beginner, you’re in the right place.</p>
Version Control with Git,beginner,4,weeks,<p>This course is ideal for developers of all skill levels. Experience with the command line is beneficial, but not required.</p>
Introduction to Cybersecurity,intermediate,4,weeks,<p>You should have intermediate programming experience with Python.</p>
Database Systems Concepts & Design,intermediate,16,weeks,<p>Learners should be familiar with at least one scripting or programming language, e.g. PHP, Python, Java. Some familiarity with software engineering concepts would be helpful. Flexibility to work remotely with team members. <br></p><p>Required text: <br>Elmasri &amp; Navathe: Fundamentals of Database Systems. 7th Edition. Pearson 2016.</p><p>Additional course material will be available online.</p><p>Additional Resources: WAMP installation guide, and more will be posted online.</p>
Intro to Point & Click App Development,beginner,1,months,<p>Good news! You don&#39;t need any programming experience and you don&#39;t need to know anything about Salesforce. You&#39;ll learn the ins and outs of point-and-click development, so all you need now is an interest in building an app.</p><p>One thing you should know: the skills you learn in this course are in high demand and will help further your career.</p>
Compilers: Theory and Practice,intermediate,0,,<p>Good knowledge of data structures and algorithms, good programming skills and ability to write sizeable software in Java or C++. Should be able to work in Linux environment.</p>
Embedded Systems,intermediate,16,weeks,<p>It is recommended that students who take this course have previously taken at least an undergraduate-level course in computer architecture. In addition, the students must have a strong background in C and/or C++.</p>
Intro to Data Analysis,beginner,6,weeks,<p>To take this course, you need to be comfortable programming in Python.</p><ul><li>You should be familiar with if statements, loops, functions, lists, sets, and dictionaries. To learn about any of these topics, take the course <a href="https://www.udacity.com/course/intro-to-computer-science--cs101">Intro to Computer Science</a>.</li><li>You should also be familiar with classes, objects, and modules. To learn about these topics, take the course <a href="https://www.udacity.com/course/programming-foundations-with-python--ud036">Programming Foundations with Python</a>.</li></ul>
Intro to Backend,intermediate,3,weeks,<p>You have a basic working knowledge of the Python programming language, which will be used in this course.</p><p>If you&#39;re looking to learn or refresh your knowledge of Python and programming, take a look at our courses <a href="https://www.udacity.com/course/intro-to-computer-science--cs101" target="_blank">Introduction to Computer Science</a> and <a href="https://www.udacity.com/course/programming-foundations-with-python--ud036" target="_blank">Programming Foundations with Python</a>.</p>
Secure and Private AI,advanced,2,months,<p>To get the most out of your experience in this course, we recommend the following:</p><ul><li>Beginner-level skills in Deep Learning or Machine Learning</li><li>Beginner-level skills in at least one Deep Learning framework (such as PyTorch)</li><li>Beginner-level skills in Python</li></ul><p>No background in cryptography or advanced mathematics is required.</p>
Introduction to TensorFlow Lite,intermediate,2,months,<p>General Experience: Some familiarity with the TensorFlow Lite framework, and comfortability with Object Oriented Programming, Python, Swift, Android, and Machine Learning.</p>
Intro to TensorFlow for Deep Learning,intermediate,2,months,<p>To get the most out of your experience, we recommend the following:</p><ul><li>Beginning Python syntax, including: variables, functions, classes, and object-oriented programming</li><li>Basic algebra</li></ul>
Intro to Deep Learning with PyTorch,intermediate,2,months,<p>To succeed in this course, you’ll need to be comfortable with Python and data processing libraries such as NumPy and Matplotlib. Basic knowledge of linear algebra and calculus is recommended, but isn’t required to complete the exercises.</p>
WeChat Mini Program Development,beginner,4,weeks,<p>To get the most out of your experience, we recommend the following:</p><ul><li>Basic HTML and CSS</li><li>Basic JavaScript</li></ul>
Advanced Operating Systems,advanced,5,weeks,<p>Students are expected to have taken an undergraduate OS course, or have some experience in industry. A good understanding of the concepts in a standard textbook such as &quot;Operating Systems Concepts,&quot; Silberschatz and Galvin (or its equivalent) will be assumed in this course. </p><p>Students must also be comfortable with UNIX and C programming.</p>
Intro to Relational Databases,intermediate,4,weeks,<p><strong>You can read and write basic code in Python.</strong> This course uses programming exercises in Python. If you haven&#39;t worked with Python before, check out our course <a href="https://www.udacity.com/course/ud036" target="_blank">Programming Foundations with Python</a>.</p>

<p>If you can understand this code (maybe with the help of the <a href="https://docs.python.org/2/library/random.html#random.choice" target="_blank"><strong>random</strong> module documentation</a>), you know enough Python for this course:</p>

<pre>
import random

def ChooseTwice(items):
    a = random.choice(items)
    b = random.choice(items)
    return a, b

names = ["Alice", "Bob", "Charlie", "Debra"]
(one, two) = ChooseTwice(names)
if one == two:
    print "%s is happy!" % one
else:
    print "%s likes %s!" % (one, two)
</pre>

<p><strong>You can use a command-line interface (terminal).</strong> Some of the exercises in this course involve using a Unix-style command-line interface to enter commands, run Python programs, and navigate directories.</p>

<p>If you have taken our course on <a href="/course/ud775" target="_blank">Git and Github</a>, the level of command-line use in this course is similar.</p>

<p><strong>You don&#39;t need to be a Web programmer.</strong> This course does include a small Web application and some HTML and JavaScript in examples, but you will not need to make changes in these languages.</p>

<p><strong>You don&#39;t need any previous database experience.</strong> This course is an entry-level introduction to relational databases.</p>

<p><strong>You need a programming text editor</strong> (such as <a href="http://www.sublimetext.com/" target="_blank">Sublime Text</a>) installed on your computer. You should be able to use it to open and edit files of Python code.</p>
SQL for Data Analysis,beginner,4,weeks,<p>Students should have general familiarity working with data in spreadsheets.</p>
Network Security,intermediate,16,weeks,<p>To succeed in this course, you should have:</p><ul><li>Intermediate to advanced programming knowledge</li><li>Knowledge of basic computer networking principles</li><li>Knowledge of basic information security principles</li></ul>
Intro to Inferential Statistics,beginner,2,months,<p>This course assumes basic understanding of Descriptive Statistics, specifically the following:</p><ul><li>calculating the mean and standard deviation of a data set</li><li>central limit theorem</li><li>interpreting probability and probability distributions</li><li>normal distributions and sampling distributions</li><li>normalizing observations</li></ul><p>If you need a refresher, check out our <a href="https://www.udacity.com/course/intro-to-descriptive-statistics--ud827">Descriptive Statistics course</a>! The course also utilizes Google Spreadsheets as a tool.</p>
Shell Workshop,beginner,1,days,<p><strong>This is a course for beginners to the shell environment.</strong></p><p>To take this course, you&#39;ll need a current Mac, Windows, or Linux computer.</p><p>You should be familiar with elementary programming concepts such as &quot;statement&quot;, &quot;variable&quot;, &quot;argument to a function&quot;, and &quot;file&quot;. No particular programming language is required, though.</p>
C++ For Programmers,intermediate,3,weeks,<p>There is one prerequisite for this course: familiarity with another programming language.</p>
iOS Interview Prep,intermediate,1,week,Swift (intermediate)
Android Interview Prep,intermediate,1,week,Java (intermediate)
Strengthen Your LinkedIn Network & Brand,beginner,1,week,<ul>
<li>Create a professional narrative</li>
<li>Use an elevator pitch to connect with ease at networking events</li>
<li>Optimize your LinkedIn Profile and use it to connect with others</li>
<li>Write an email that gets a response</li>
<li>Meet with industry professionals</li>
</ul>
Refresh Your Resume,beginner,2,days,Proficient in spoken and written English
Craft Your Cover Letter,beginner,1,day,Proficient in spoken and written English
Intro to jQuery,intermediate,2,days,<p>To succeed in this course, we expect you to have some HTML and JavaScript experience. You should at minimum understand loops, functions, and conditional statements (if/else). </p><p>Udacity’s <a href="https://www.udacity.com/course/intro-to-javascript--ud803">JavaScript Basics course</a> and <a href="https://www.udacity.com/course/html-and-css-syntax--ud001">HTML/CSS course</a> are good preparation for this course.</p>
Make Your Own 2048,beginner,1,days,<p>Nothing! </p><p>Really. This course is for complete beginners. It is designed to help someone who has never seen computer code take their first steps into the world of programming and web-development.</p>
Front-End Interview Prep,intermediate,1,week,<ul>
<li>HTML</li>
<li>CSS</li>
<li>JavaScript</li>
<li>Git</li>
<li>GitHub</li>
<li>React</li>
<li>Developer tools (such as Grunt and Gulp)</li>
</ul>
VR Interview Prep,intermediate,1,week,There are no prerequisites for this course.
Full-Stack Interview Prep,intermediate,1,week,<ul>
<li>Python (intermediate)</li>
<li>HTML (intermediate)</li>
</ul>
